nodeID,drug_name,x_id,cancer_gene,brite,mySamplingNumber,
P04035,Axitinib,HMGCR,FALSE,Enzymes,51,
P04075,Afatinib;AZD5582;Savolitinib;PLX-4720;Dabrafenib;LIMK1 inhibitor BMS4,ALDOA,FALSE,Membrane trafficking,85,
P04080,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885,CSTB,FALSE,Peptidases and inhibitors,3,
P04083,WEHI-539,ANXA1,FALSE,Membrane trafficking,80,
P04181,Crizotinib;Afatinib;Savolitinib,OAT,FALSE,Amino acid related enzymes,82,
P04264,SB590885;CAY10566,KRT1,FALSE,Cytoskeleton proteins,29,
P04406,Afatinib;GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,GAPDH,FALSE,Membrane trafficking,21,
P04626,Afatinib;PF-06747775,ERBB2,TRUE,Protein kinases,76,
P04632,Dabrafenib;IAP_7638;AZD5582,CAPNS1,FALSE,Peptidases and inhibitors,70,
P04843,IAP_7638;IAP_5620;Venetoclax;AZD5582,RPN1,FALSE,none,1,
P04844,AC220;IAP_5620;IAP_7638;AZD5582,RPN2,FALSE,none,65,
P04899,Ponatinib;PLX-4720;TGX221;PLK4_0066;Dabrafenib;PF-06747775;GSK429286A,GNAI2,FALSE,Exosome,70,
P05026,Afatinib;PF-06747775;LIMK1 inhibitor BMS4;Crizotinib,ATP1B1,FALSE,CD molecules,27,
P05141,Afatinib;IAP_7638;Venetoclax;AZD5582,SLC25A5,FALSE,Mitochondrial biogenesis,51,
P05165,Afatinib;PF-06747775,PCCA,FALSE,Enzymes,94,
P05166,Afatinib;PF-06747775;PLX-4720;Savolitinib,PCCB,FALSE,Enzymes,29,
P05198,Afatinib;AZD5582,EIF2S1,FALSE,Translation factors,47,
P05204,Savolitinib,HMGN2,FALSE,Chromosome and associated proteins,13,
P05362,WEHI-539;IAP_7638;AZD5582,ICAM1,FALSE,Exosome,96,
P05386,Savolitinib;Motesanib;PLX-4720;PDGFR_0615;Dabrafenib,RPLP1,FALSE,Ribosome,73,
P05387,Afatinib;PLX-4720;CAY10566;Dabrafenib;WEHI-539;SB590885,RPLP2,FALSE,Ribosome,59,
P05388,Afatinib;PD173074;PLX-4720;AZD5582,RPLP0,FALSE,Ribosome,14,
P05412,Afatinib,JUN,FALSE,Transcription factors,14,
P05413,Afatinib,FABP3,FALSE,Exosome,35,
P05455,Afatinib;IAP_5620;AZD5582;Venetoclax;IAP_7638,SSB,FALSE,none,32,
P05783,Afatinib;GDC-0879;Savolitinib;PLX-4720;Cetuximab;Dabrafenib;PF-06747775;SB590885;LIMK1 inhibitor BMS4,KRT18,FALSE,Cytoskeleton proteins,32,
P06132,Afatinib;Dabrafenib;PF-06747775,UROD,FALSE,Enzymes,47,
P06213,Dabrafenib,INSR,FALSE,Protein kinases,41,
P06280,Dabrafenib;A-1155463,GLA,FALSE,Enzymes,47,
P06396,GDC-0879;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,GSN,FALSE,Cytoskeleton proteins,71,
P06400,Ara-G,RB1,TRUE,Protein phosphatases and associated proteins,42,
P06454,Afatinib;IAP_5620;AZD5582;Savolitinib;IAP_7638;Crizotinib,PTMA,FALSE,none,17,
P06493,Afatinib;Venetoclax,CDK1,FALSE,Protein kinases,83,
P06703,Venetoclax,S100A6,FALSE,Domain-containing proteins not elsewhere classified,74,
P06744,Afatinib;Savolitinib;AZD5582;WEHI-539;IAP_7638,GPI,FALSE,Exosome,7,
P06865,GDC-0879;PLX-4720;Dabrafenib;Venetoclax;SB590885;A-1155463,HEXA,FALSE,Chaperones and folding catalysts,52,
P07093,GDC-0879;Afatinib;PLX-4720;Dabrafenib;SB590885,SERPINE2,FALSE,Peptidases and inhibitors,58,
P07108,GDC-0879;Savolitinib;CAY10566;Dabrafenib;SB590885;Crizotinib,DBI,FALSE,none,19,
P07195,Afatinib;GDC-0879;AZD5582;PLX-4720;Dabrafenib;SB590885;IAP_7638;Crizotinib,LDHB,FALSE,Exosome,55,
P07199,AZD5582,CENPB,FALSE,Chromosome and associated proteins,37,
P07203,GDC-0879;Dabrafenib;PLX-4720,GPX1,FALSE,Enzymes,72,
P07237,Venetoclax;AZD5582,P4HB,FALSE,Chaperones and folding catalysts,75,
P07339,PLX-4720;Afatinib;Dabrafenib;PF-06747775,CTSD,FALSE,Peptidases and inhibitors,56,
P07355,WH-4-023;Afatinib;TGX221;AZD1152-HQPA;Venetoclax;SB590885,ANXA2,FALSE,Membrane trafficking,88,
P07384,Afatinib;PF-06747775,CAPN1,FALSE,Peptidases and inhibitors,39,
P07686,GDC-0879;PLX-4720;WEHI-539;Dabrafenib;SB590885,HEXB,FALSE,Chaperones and folding catalysts,19,
P07711,Dabrafenib;PLX-4720,CTSL,FALSE,Peptidases and inhibitors,73,
P07737,Afatinib;AZD5582;Savolitinib;PLX-4720;Dabrafenib;PF-06747775;LIMK1 inhibitor BMS4;Crizotinib,PFN1,FALSE,Membrane trafficking,83,
P07741,Savolitinib;IAP_7638;AZD5582,APRT,FALSE,Exosome,96,
P07858,PLX-4720;Dabrafenib;Venetoclax,CTSB,FALSE,Peptidases and inhibitors,26,
P07900,Afatinib;IAP_7638,HSP90AA1,FALSE,Protein phosphatases and associated proteins,54,
P07942,TGX221;PF-06747775,LAMB1,FALSE,none,45,
P07948,Afatinib,LYN,FALSE,Protein kinases,14,
P07954,PF-06747775,FH,FALSE,Enzymes,59,
P07996,Venotoclax;Venetoclax,THBS1,FALSE,Membrane trafficking,32,
P08069,Afatinib,IGF1R,FALSE,Protein kinases,38,
P08133,Afatinib;PF-06747775,ANXA6,FALSE,Membrane trafficking,34,
P08134,PLX-4720;WH-4-023;TGX221;PF-06747775,RHOC,FALSE,Membrane trafficking,34,
P08183,IAP_7638;Savolitinib,ABCB1,TRUE,Transporters,95,
P08195,Afatinib;Cetuximab;PF-06747775,SLC3A2,FALSE,Transporters,94,
P08237,GDC-0879;Afatinib,PFKM,FALSE,Protein phosphatases and associated proteins,17,
P08238,Afatinib;Savolitinib,HSP90AB1,FALSE,Protein phosphatases and associated proteins,4,
P08240,IAP_7638;Venetoclax;AZD5582,SRPRA,FALSE,Secretion system,26,
P08397,AC220;Savolitinib,HMBS,FALSE,Enzymes,1,
P08574,SB590885,CYC1,FALSE,none,84,
P08581,Cabozantinib;Capmatinib;AZD6094;Savolitinib,MET,TRUE,Protein kinases,37,
P08582,SB590885;Dabrafenib;PLX-4720,MELTF,FALSE,CD molecules,89,
P08648,Afatinib;AZD4547;PF-06747775;GSK429286A,ITGA5,FALSE,Exosome,54,
P08708,Afatinib;AZD5582;PLX-4720;IAP_7638;Crizotinib,RPS17,FALSE,Ribosome,40,
P08727,Afatinib;Lapatinib;PF-06747775;GSK429286A,KRT19,FALSE,Cytoskeleton proteins,44,
P08729,Afatinib;PF-06747775,KRT7,FALSE,Cytoskeleton proteins,82,
P08754,SB590885;IAP_7638;AZD5582,GNAI3,FALSE,Exosome,77,
P08758,GDC-0879;Afatinib;AZD5582;LIMK1 inhibitor BMS4;PLX-4720;Dabrafenib;WEHI-539;PF-06747775;SB590885;A-1155463,ANXA5,FALSE,Exosome,27,
P08779,Afatinib,KRT16,FALSE,Cytoskeleton proteins,30,
P08865,Afatinib;AZD5582;PLX-4720;IAP_7638;WEHI-539;LIMK1 inhibitor BMS4,RPSA,FALSE,Ribosome,80,
P09012,AC220,SNRPA,FALSE,Spliceosome,46,
P09104,Afatinib;WEHI-539,ENO2,FALSE,Messenger RNA biogenesis,5,
P09110,Afatinib;PF-06747775;Venetoclax,ACAA1,FALSE,Enzymes,32,
P09211,Crizotinib;IAP_7638;AZD5582,GSTP1,FALSE,Transporters,6,
P09382,Afatinib;PLX-4720;Dabrafenib;PF-06747775;Venetoclax;Linifanib;LIMK1 inhibitor BMS4;GSK429286A,LGALS1,FALSE,Exosome,59,
P09417,Afatinib;GDC-0879;PLX-4720;Dabrafenib;SB590885;IAP_7638,QDPR,FALSE,Enzymes,68,
P09429,Crizotinib;Venetoclax;IAP_7638;AZD5582,HMGB1,FALSE,Chromosome and associated proteins,86,
P09467,A-1155463,FBP1,FALSE,Exosome,92,
P09471,Venetoclax,GNAO1,FALSE,Exosome,95,
P09496,Afatinib;AZD5582,CLTA,FALSE,Membrane trafficking,27,
P09497,Afatinib;Lapatinib,CLTB,FALSE,Membrane trafficking,75,
P09543,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;Crizotinib,CNP,FALSE,Exosome,30,
P09651,Dabrafenib,HNRNPA1,FALSE,Messenger RNA biogenesis,11,
P09661,Dabrafenib;WEHI-539;Savolitinib,SNRPA1,FALSE,Spliceosome,77,
P09668,IAP_7638,CTSH,FALSE,Peptidases and inhibitors,69,
P09669,Afatinib;AZD4547;WEHI-539;PF-06747775,COX6C,FALSE,none,82,
P09758,Afatinib;AZD5582,TACSTD2,FALSE,Exosome,65,
P09874,IAP_5620;Venetoclax;IAP_7638;AZD5582,PARP1,FALSE,DNA replication proteins,78,
P09936,Afatinib;Venetoclax;AZD5582,UCHL1,FALSE,Peptidases and inhibitors,14,
P09960,IAP_5620;IAP_7638;AZD5582,LTA4H,FALSE,Peptidases and inhibitors,7,
P09972,Afatinib;PLX-4720;Savolitinib,ALDOC,FALSE,Membrane trafficking,26,
P0DPB6,SB590885,POLR1D,FALSE,Transcription machinery,73,
P10155,SB590885;Afatinib;Dabrafenib;AZD5582,RO60,FALSE,none,53,
P10301,GDC-0879;WH-4-023;TGX221;SB590885;GSK429286A,RRAS,FALSE,GTP-binding proteins,52,
P10451,WEHI-539,SPP1,FALSE,none,50,
P10515,PD173074,DLAT,FALSE,Enzymes,84,
P10599,Savolitinib;AZD5582,TXN,FALSE,Chaperones and folding catalysts,75,
P10606,Afatinib;AZD4547;WEHI-539;PF-06747775,COX5B,FALSE,none,84,
P10619,GDC-0879;TGX221;PLX-4720;Dabrafenib;Venetoclax;SB590885,CTSA,FALSE,Peptidases and inhibitors,39,
P10620,Afatinib;PF-06747775,MGST1,FALSE,Transporters,76,
P10644,Afatinib;PLX-4720;Dabrafenib;PF-06747775;SB590885;Ara-G,PRKAR1A,FALSE,none,36,
P10768,Dabrafenib;Afatinib;Savolitinib;Crizotinib,ESD,FALSE,Enzymes,79,
P10809,PD173074;PF-06747775,HSPD1,FALSE,Messenger RNA biogenesis,34,
P10909,Crizotinib,CLU,FALSE,Chaperones and folding catalysts,2,
P11021,AZD5582;Venetoclax;GSK1070916;IAP_7638;Ara-G,HSPA5,FALSE,Chaperones and folding catalysts,19,
P11047,WH-4-023;TGX221,LAMC1,FALSE,none,84,
P11142,GDC-0879;Afatinib;Savolitinib;PLX-4720;Dabrafenib;SB590885;Crizotinib,HSPA8,TRUE,Protein phosphatases and associated proteins,35,
P11166,SB590885;TL-2-105;TGX221;AZD5582,SLC2A1,FALSE,Transporters,68,
P11216,GDC-0879;Afatinib;NVP-BHG712;LIMK1 inhibitor BMS4;PLX-4720;Dabrafenib;SB590885;IAP_7638,PYGB,FALSE,Enzymes,74,
P11233,Afatinib;PF-06747775;AZD5582,RALA,FALSE,Membrane trafficking,91,
P11234,Afatinib,RALB,FALSE,Membrane trafficking,3,
P11279,Afatinib;Savolitinib,LAMP1,FALSE,Membrane trafficking,56,
P11388,SB590885;Dabrafenib;AZD5582;Crizotinib,TOP2A,FALSE,DNA replication proteins,99,
P11413,IAP_7638;AZD5582,G6PD,FALSE,Exosome,38,
P11441,SB590885;Dabrafenib,UBL4A,FALSE,Membrane trafficking,52,
P11586,Afatinib,MTHFD1,FALSE,Exosome,56,
P11717,Afatinib;Dabrafenib;PF-06747775,IGF2R,FALSE,Exosome,43,
P11766,Afatinib,ADH5,FALSE,Enzymes,76,
P11940,Afatinib;LIMK1 inhibitor BMS4,PABPC1,FALSE,Messenger RNA biogenesis,81,
P12004,Afatinib;IAP_7638,PCNA,FALSE,DNA replication proteins,46,
P12109,Afatinib;GSK269962A;TGX221,COL6A1,FALSE,Exosome,93,
P12235,CAY10566;Dabrafenib;Savolitinib,SLC25A4,FALSE,Mitochondrial biogenesis,32,
P12259,AC220;BIX-02188,F5,FALSE,none,20,
P12268,Afatinib;LIMK1 inhibitor BMS4,IMPDH2,FALSE,Exosome,11,
P12270,BIX-02188;AZD5582;IAP_7638;Savolitinib,TPR,FALSE,Messenger RNA biogenesis,15,
P12277,Venetoclax;TGX221;IAP_7638;AZD5582,CKB,FALSE,Exosome,59,
P12532,Dabrafenib,CKMT1A,FALSE,Exosome,94,
P12694,PLX-4720,BCKDHA,FALSE,Enzymes,61,
P12814,WH-4-023;Ponatinib;PLX-4720;TGX221;Dabrafenib;Venetoclax;LIMK1 inhibitor BMS4,ACTN1,FALSE,Membrane trafficking,59,
P12830,Afatinib,CDH1,TRUE,Chromosome and associated proteins,20,
P12956,Afatinib,XRCC6,FALSE,Spliceosome,56,
P13010,Afatinib,XRCC5,FALSE,DNA repair and recombination proteins,70,
P13073,Afatinib;WEHI-539,COX4I1,FALSE,none,14,
P13473,Savolitinib;AZD5582;TGX221;PLX-4720;Dabrafenib,LAMP2,FALSE,Membrane trafficking,97,
P13489,Afatinib;AZD5582;PLX-4720;Dabrafenib;PF-06747775;IAP_7638;Crizotinib,RNH1,FALSE,none,24,
P13611,Cabozantinib,VCAN,FALSE,Proteoglycans,72,
P13639,Afatinib;AZD5582;Savolitinib;IAP_7638;LIMK1 inhibitor BMS4;Crizotinib,EEF2,FALSE,Translation factors,48,
P13645,SB590885,KRT10,FALSE,Cytoskeleton proteins,35,
P13647,Afatinib;PF-06747775,KRT5,FALSE,Cytoskeleton proteins,85,
P13667,AC220;AZD5582;Venetoclax;Ara-G,PDIA4,FALSE,Chaperones and folding catalysts,88,
P13674,PD173074;TGX221;PF-06747775;AZD4547;GSK429286A,P4HA1,FALSE,Enzymes,2,
P13693,Dabrafenib;PLX-4720;Savolitinib,TPT1,FALSE,none,81,
P13747,Linifanib,HLA-E,FALSE,Exosome,10,
P13797,WH-4-023;TGX221;Savolitinib,PLS3,FALSE,DNA repair and recombination proteins,53,
P13798,AZD5582;PLX-4720;Dabrafenib;SB590885;IAP_7638,APEH,FALSE,Peptidases and inhibitors,96,
P13804,Afatinib;PF-06747775;AZD5582,ETFA,FALSE,Exosome,12,
P13807,Savolitinib,GYS1,FALSE,Glycosyltransferases,21,
P13861,IAP_7638,PRKAR2A,FALSE,none,66,
P13929,WEHI-539;Savolitinib,ENO3,FALSE,Messenger RNA biogenesis,69,
P13984,AZD5582,GTF2F2,FALSE,Transcription machinery,34,
P13987,Venetoclax;Ara-G,CD59,FALSE,Exosome,60,
P13995,Dabrafenib;PLX-4720,MTHFD2,FALSE,Enzymes,61,
P14174,SB590885;Afatinib;Savolitinib,MIF,FALSE,Exosome,24,
P14314,IAP_5620;IAP_7638;AZD5582,PRKCSH,FALSE,Lectins,87,
P14317,Alectinib;Axitinib;Crizotinib,HCLS1,FALSE,Membrane trafficking,3,
P14324,SB590885;Afatinib;Crizotinib,FDPS,FALSE,Prenyltransferases,5,
P14384,Imatinib;WEHI-539,CPM,FALSE,Peptidases and inhibitors,84,
P14406,Nilotinib;Afatinib;WEHI-539;Savolitinib,COX7A2,FALSE,none,14,
P14550,Venetoclax;IAP_7638;AZD5582,AKR1A1,FALSE,Exosome,75,
P14625,AZD5582,HSP90B1,FALSE,Chaperones and folding catalysts,88,
P14735,Savolitinib,IDE,FALSE,Peptidases and inhibitors,78,
P14854,WEHI-539;PF-06747775;GSK429286A,COX6B1,FALSE,none,60,
P14859,SB590885,POU2F1,FALSE,Transcription factors,50,
P14866,SB590885;Dabrafenib;Savolitinib,HNRNPL,FALSE,Spliceosome,22,
P14923,Afatinib;Cetuximab;PF-06747775;AZD4547;GSK429286A,JUP,FALSE,Exosome,47,
P14927,AZD4547;PD173074;Ara-G,UQCRB,FALSE,none,34,
P15121,IAP_7638;AZD5582,AKR1B1,FALSE,Enzymes,26,
P15170,Afatinib;Savolitinib;AZD5582,GSPT1,FALSE,Messenger RNA biogenesis,47,
P15311,GDC-0879;Afatinib;Savolitinib;AZD5582;WEHI-539;SB590885,EZR,FALSE,Cytoskeleton proteins,92,
P15531,Afatinib;IAP_5620;AZD5582;TGX221;SB590885;IAP_7638,NME1,FALSE,Membrane trafficking,3,
P15586,Afatinib;Dabrafenib;PLX-4720,GNS,FALSE,Enzymes,27,
P15848,AZD5582,ARSB,FALSE,Enzymes,83,
P15880,Afatinib;AZD5582;PLX-4720;Dabrafenib;LIMK1 inhibitor BMS4;Crizotinib,RPS2,FALSE,Ribosome,92,
P15924,Afatinib;PLX-4720;Dabrafenib;Cetuximab;PF-06747775;GSK429286A,DSP,FALSE,Cytoskeleton proteins,45,
P15927,Afatinib;Ara-G,RPA2,FALSE,DNA replication proteins,1,
P15954,Afatinib;WEHI-539;PF-06747775,COX7C,FALSE,none,92,
P16144,Afatinib;PF-06747775;GSK429286A,ITGB4,FALSE,Exosome,89,
P16150,AMG900,SPN,FALSE,CD molecules,31,
P16152,Afatinib;GDC-0879;AZD5582;PLX-4720;Dabrafenib;SB590885;IAP_7638,CBR1,FALSE,Enzymes,80,
P16383,Imatinib;Nilotinib,GCFC2,FALSE,Transcription factors,17,
P16435,Afatinib;PF-06747775,POR,FALSE,none,43,
P16455,Savolitinib,MGMT,FALSE,DNA repair and recombination proteins,31,
P16615,Afatinib;PF-06747775,ATP2A2,FALSE,Enzymes,68,
P16885,WEHI-539,PLCG2,FALSE,Membrane trafficking,57,
P16930,SB590885;GDC-0879;Dabrafenib;PLX-4720,FAH,FALSE,Exosome,97,
P16949,Afatinib;Savolitinib;PF-06747775;Venetoclax;Lapatinib;IAP_7638;Crizotinib,STMN1,FALSE,Cytoskeleton proteins,6,
P17028,Afatinib,ZNF24,FALSE,Transcription factors,81,
P17050,SB590885;Dabrafenib,NAGA,FALSE,Enzymes,7,
P17252,AZD5582,PRKCA,FALSE,Protein kinases,47,
P17275,Afatinib,JUNB,FALSE,Transcription factors,39,
P17301,Afatinib,ITGA2,FALSE,Exosome,92,
P17655,TGX221,CAPN2,FALSE,Peptidases and inhibitors,34,
P17676,AZD5582,CEBPB,FALSE,Transcription factors,61,
P17812,Afatinib;Venetoclax;PF-06747775,CTPS1,FALSE,Enzymes,5,
P17900,GDC-0879;Afatinib;PLX-4720;Dabrafenib;SB590885,GM2A,FALSE,Exosome,25,
P17931,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885;GSK429286A,LGALS3,FALSE,Exosome,23,
P17980,Afatinib;Savolitinib,PSMC3,FALSE,Proteasome,30,
P17987,Afatinib;IAP_7638;AZD5582,TCP1,FALSE,Chaperones and folding catalysts,28,
P18031,PLK4_0066;WH-4-023;Dabrafenib;PLX-4720,PTPN1,FALSE,Protein phosphatases and associated proteins,44,
P18077,Afatinib,RPL35A,FALSE,Ribosome,24,
P18084,Afatinib,ITGB5,FALSE,Membrane trafficking,19,
P18085,Afatinib;Dabrafenib,ARF4,FALSE,Membrane trafficking,76,
P18124,SB590885;Afatinib;AZD5582,RPL7,FALSE,Ribosome,26,
P18206,TGX221,VCL,FALSE,Cytoskeleton proteins,10,
P18283,Tretinoin;IAP_7638,GPX2,FALSE,Enzymes,28,
P18621,Afatinib;AZD5582;PLX-4720;Dabrafenib;WEHI-539;PF-06747775,RPL17,FALSE,Ribosome,56,
P18669,Afatinib;AZD5582;Savolitinib;PLX-4720;Dabrafenib;IAP_7638,PGAM1,FALSE,Membrane trafficking,41,
P18754,Afatinib;Dabrafenib,RCC1,FALSE,Messenger RNA biogenesis,74,
P18827,Afatinib,SDC1,FALSE,Membrane trafficking,12,
P18887,Venetoclax;IAP_7638;AZD5582,XRCC1,FALSE,DNA repair and recombination proteins,67,
P19022,GSK429286A,CDH2,FALSE,Chromosome and associated proteins,58,
P19367,Crizotinib,HK1,FALSE,Membrane trafficking,61,
P19387,Venetoclax,POLR2C,FALSE,Transcription machinery,56,
P19404,SB590885;WEHI-539,NDUFV2,FALSE,Enzymes,18,
P19525,AZD5582;Ara-G,EIF2AK2,FALSE,Protein kinases,78,
P19623,Afatinib;GDC-0879;Savolitinib;PLX-4720;Cetuximab;Dabrafenib;PF-06747775;SB590885,SRM,FALSE,Enzymes,18,
P19823,AC220;BIX-02188,ITIH2,FALSE,Glycosaminoglycan binding proteins,76,
P20042,AZD5582,EIF2S2,FALSE,Protein phosphatases and associated proteins,87,
P20073,AZD5582,ANXA7,FALSE,Secretion system,42,
P20290,Afatinib;Dabrafenib;PLX-4720;Savolitinib,BTF3,FALSE,none,83,
P20340,Afatinib;PF-06747775,RAB6A,FALSE,Membrane trafficking,18,
P20591,Venetoclax,MX1,FALSE,none,18,
P20618,Afatinib;Crizotinib,PSMB1,FALSE,Peptidases and inhibitors,18,
P20645,Dabrafenib;PLX-4720,M6PR,FALSE,Exosome,90,
P20674,Afatinib;PF-06747775;GSK429286A,COX5A,FALSE,none,28,
P20700,PLX-4720;Dabrafenib;PF-06747775;AZD5582,LMNB1,FALSE,Cytoskeleton proteins,38,
P20810,Venetoclax;AZD5582,CAST,FALSE,Peptidases and inhibitors,66,
P20908,Afatinib,COL5A1,FALSE,Glycosaminoglycan binding proteins,26,
P20962,Afatinib;Axitinib;AZD5582;Savolitinib;GSK429286A;WEHI-539;PF-06747775;Crizotinib,PTMS,FALSE,none,98,
P21266,AZD5582,GSTM3,FALSE,Transporters,91,
P21281,GDC-0879;Afatinib;PLX-4720;IAP_7638;Dabrafenib;PF-06747775;SB590885;LIMK1 inhibitor BMS4,ATP6V1B2,FALSE,Exosome,95,
P21283,Afatinib;GDC-0879;PLX-4720;Dabrafenib;SB590885,ATP6V1C1,FALSE,none,88,
P21291,Afatinib;PLX-4720,CSRP1,FALSE,Transcription factors,35,
P21333,TGX221;Venetoclax;PF-06747775;SB590885;GSK429286A,FLNA,FALSE,Cytoskeleton proteins,82,
P21579,SB590885,SYT1,FALSE,Membrane trafficking,15,
P21589,Venetoclax;GSK429286A,NT5E,FALSE,CD molecules,73,
P21796,Dabrafenib;Venetoclax;Crizotinib,VDAC1,FALSE,Mitochondrial biogenesis,22,
P21926,Afatinib;PF-06747775;PLX-4720,CD9,FALSE,Cilium and associated proteins,65,
P21980,Dabrafenib,TGM2,FALSE,Enzymes,77,
P22033,AZD5582,MMUT,FALSE,Enzymes,53,
P22087,Savolitinib,FBL,FALSE,Ribosome biogenesis,53,
P22102,Afatinib,GART,FALSE,Enzymes,73,
P22223,Afatinib,CDH3,FALSE,Cell adhesion molecules,44,
P22234,Afatinib;IAP_7638;AZD5582,PAICS,FALSE,Enzymes,60,
P22314,Afatinib;IAP_5620;AZD5582;PF-06747775;IAP_7638;Crizotinib,UBA1,FALSE,Ubiquitin system,2,
P22626,Dabrafenib,HNRNPA2B1,FALSE,Messenger RNA biogenesis,52,
P22695,SB590885;Afatinib;PD173074;Crizotinib,UQCRC2,FALSE,Peptidases and inhibitors,11,
P23193,AC220;Crizotinib;Venetoclax;AZD5582,TCEA1,FALSE,Transcription machinery,96,
P23246,Dabrafenib;WEHI-539,SFPQ,FALSE,Protein phosphatases and associated proteins,31,
P23284,Dabrafenib;WEHI-539;Venetoclax;A-1155463;Ara-G,PPIB,FALSE,Chaperones and folding catalysts,82,
P23368,Savolitinib,ME2,FALSE,Enzymes,70,
P23396,Afatinib;AZD5582;WEHI-539;PF-06747775;LIMK1 inhibitor BMS4,RPS3,FALSE,Ribosome,12,
P23508,Savolitinib,MCC,FALSE,none,54,
P23526,GDC-0879;IAP_5620;AZD5582;SB590885;IAP_7638,AHCY,FALSE,Protein phosphatases and associated proteins,34,
P23528,Afatinib;AZD5582;LIMK1 inhibitor BMS4;Dabrafenib;IAP_7638;Crizotinib,CFL1,FALSE,Membrane trafficking,8,
P23588,Afatinib;Savolitinib;IAP_7638;AZD5582,EIF4B,FALSE,Messenger RNA biogenesis,7,
P23786,Afatinib;PF-06747775,CPT2,FALSE,Enzymes,75,
P23919,Afatinib;IAP_5620;IAP_7638;AZD5582,DTYMK,FALSE,Enzymes,67,
P24534,Afatinib;Savolitinib,EEF1B2,FALSE,Translation factors,50,
P24941,GDC-0879;Afatinib;PLX-4720;Dabrafenib;SB590885,CDK2,FALSE,Protein kinases,31,
P25205,Afatinib;Venetoclax,MCM3,TRUE,DNA replication proteins,74,
P25325,Venetoclax;IAP_7638,MPST,FALSE,Enzymes,24,
P25398,Crizotinib;Afatinib;PLX-4720;AZD5582,RPS12,FALSE,Ribosome,85,
P25685,SB590885;IAP_7638;AZD5582,DNAJB1,FALSE,Chaperones and folding catalysts,26,
P25786,AC220;Afatinib;Savolitinib,PSMA1,FALSE,Peptidases and inhibitors,68,
P25787,Afatinib;Savolitinib;Crizotinib,PSMA2,FALSE,Peptidases and inhibitors,61,
P25788,Afatinib;Savolitinib;Crizotinib,PSMA3,FALSE,Peptidases and inhibitors,11,
P25789,Afatinib;Savolitinib;Crizotinib,PSMA4,FALSE,Peptidases and inhibitors,2,
P26006,GDC-0879;WH-4-023;KIT_5808;PLK4_0066;S63845;Nilotinib;Venetoclax;SB590885;GSK429286A,ITGA3,FALSE,Exosome,64,
P26038,Afatinib;PLX-4720;Dabrafenib;PF-06747775;LIMK1 inhibitor BMS4,MSN,FALSE,Cytoskeleton proteins,15,
P26196,Afatinib;IAP_7638;AZD5582,DDX6,FALSE,Messenger RNA biogenesis,93,
P26368,Dabrafenib,U2AF2,FALSE,Spliceosome,61,
P26373,Afatinib;AZD5582;PLX-4720;Dabrafenib;WEHI-539;A-1155463,RPL13,FALSE,Ribosome,23,
P26440,Afatinib;PF-06747775,IVD,FALSE,Enzymes,54,
P26583,Afatinib;AZD5582;TGX221;Venetoclax;IAP_7638;Crizotinib,HMGB2,FALSE,Chromosome and associated proteins,30,
P26599,SB590885;GDC-0879;Dabrafenib,PTBP1,FALSE,Messenger RNA biogenesis,49,
P26885,IAP_5620;IAP_7638;AZD5582,FKBP2,FALSE,Chaperones and folding catalysts,94,
P27144,Afatinib,AK4,FALSE,Exosome,15,
P27338,Ara-G,MAOB,FALSE,Enzymes,36,
P27348,Afatinib;IAP_5620;IAP_7638;AZD5582,YWHAQ,FALSE,DNA repair and recombination proteins,96,
P27635,Afatinib;AZD5582;LIMK1 inhibitor BMS4;WEHI-539;IAP_7638;Crizotinib,RPL10,FALSE,Ribosome,4,
P27694,Afatinib,RPA1,FALSE,Transcription factors,72,
P27695,Afatinib;IAP_5620;AZD5582;Cetuximab;Venetoclax;IAP_7638;Crizotinib,APEX1,FALSE,DNA repair and recombination proteins,56,
P27707,Afatinib;Venetoclax,DCK,FALSE,Enzymes,92,
P27708,Afatinib;IAP_7638;AZD5582,CAD,TRUE,Peptidases and inhibitors,36,
P27797,AC220;IAP_7638;Venetoclax;AZD5582,CALR,FALSE,Chaperones and folding catalysts,54,
P27816,Afatinib;Savolitinib;PLX-4720;Dabrafenib;PF-06747775;LIMK1 inhibitor BMS4,MAP4,FALSE,Cytoskeleton proteins,57,
P27824,IAP_7638;AZD5582;Venetoclax;Crizotinib,CANX,FALSE,Chaperones and folding catalysts,3,
P28066,Afatinib;Savolitinib,PSMA5,FALSE,Peptidases and inhibitors,91,
P28070,AC220;Afatinib,PSMB4,FALSE,Peptidases and inhibitors,36,
P28072,Afatinib;GSK269962A;Crizotinib,PSMB6,FALSE,Peptidases and inhibitors,27,
P28300,Afatinib,LOX,FALSE,Enzymes,92,
P28331,AC220;WEHI-539;SB590885,NDUFS1,FALSE,Enzymes,54,
P28340,WEHI-539;AZD5582,POLD1,FALSE,DNA replication proteins,77,
P28370,CAY10566,SMARCA1,TRUE,Chromosome and associated proteins,8,
