nodeID;display name;name;shared name;canonical name;database identifier;description;node type;species;keggID;BRITEClass;number_of_nodes;number_of_edges;average_degree;degree_1_alters;degree_2_alters
147773;rluB;511145.b1269;511145.b1269;P37765;511145.b1269;23S rRNA pseudouridine(2605) synthase, Responsible for synthesis of pseudouridine from uracil-2605 in 23S ribosomal RNA.;protein;Escherichia coli K12;eco:b1269;Ribosome biogenesis;106.0;998.0;9.415094339622641;10.0;95.0
147107;btuR;511145.b1270;511145.b1270;P0A9H5;511145.b1270;cob(I)yrinic acid a,c-diamide adenosyltransferase, Required for both de novo synthesis of the corrin ring for the assimilation of exogenous corrinoids. Participates in the adenosylation of a variety of incomplete and complete corrinoids (By similarity).;protein;Escherichia coli K12;eco:b1270;Enzymes;27.0;136.0;5.037037037037037;5.0;21.0
143351;yciK;511145.b1271;511145.b1271;P31808;511145.b1271;Putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase, Putative oxidoreductase, Belongs to the short-chain dehydrogenases/reductases (SDR) family.;protein;Escherichia coli K12;eco:b1271;none;10.0;13.0;1.3;3.0;6.0
149072;sohB;511145.b1272;511145.b1272;P0AG14;511145.b1272;Inner membrane protein, S49 peptidase family protein, Multicopy suppressor of the HtrA (DegP) null phenotype. It is possibly a protease, not essential for bacterial viability, Belongs to the peptidase S49 family.;protein;Escherichia coli K12;eco:b1272;Peptidases and inhibitors;4.0;3.0;0.75;1.0;2.0
151793;yciN;511145.b1273;511145.b1273;P0AB61;511145.b1273;DUF2498 protein YciN;protein;Escherichia coli K12;eco:b1273;none;1.0;0.0;0.0;0.0;0.0
144821;topA;511145.b1274;511145.b1274;P06612;511145.b1274;DNA topoisomerase I, omega subunit, Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA- (5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone. ECO:0000269|PubMed:10681504, ECO:0000269|PubMed:21482796,;protein;Escherichia coli K12;eco:b1274;DNA replication proteins;406.0;6112.0;15.054187192118226;18.0;387.0
151691;cysB;511145.b1275;511145.b1275;P0A9F3;511145.b1275;N-acetylserine-responsive cysteine regulon transcriptional activator, This protein is a positive regulator of gene expression for the cysteine regulon, a system of 10 or more loci involved in the biosynthesis of L-cysteine from inorganic sulfate. The inducer for CysB is N-acetylserine. CysB inhibits its own transcription.;protein;Escherichia coli K12;eco:b1275;Transcription factors;92.0;442.0;4.804347826086956;5.0;86.0
149663;acnA;511145.b1276;511145.b1276;P25516;511145.b1276;Aconitate hydratase 1, Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. The apo form of AcnA functions as a RNA- binding regulatory protein which plays a role as a maintenance or survival enzyme during nutritional or oxidative stress. During oxidative stress inactive AcnA apo-enzyme without iron sulfur clusters binds the acnA mRNA 3' UTRs (untranslated regions), stabilizes acnA mRNA and increases AcnA synthesis, thus mediating a post- transcriptional positive autoregulatory switch. AcnA also enhances the stability of the sodA transcript. ECO:0000269|PubMed:10589714, ECO:0000269|PubMed:11932448, ECO:0000269|PubMed:12486059, ECO:0000269|PubMed:1838390,;protein;Escherichia coli K12;eco:b1276;Enzymes;186.0;1737.0;9.338709677419354;18.0;167.0
147953;ribA;511145.b1277;511145.b1277;P0A7I7;511145.b1277;GTP cyclohydrolase II, Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate.;protein;Escherichia coli K12;eco:b1277;Enzymes;254.0;3073.0;12.098425196850394;16.0;237.0
148832;pgpB;511145.b1278;511145.b1278;P0A924;511145.b1278;Phosphatidylglycerophosphatase B, Catalyzes the dephosphorylation of diacylglycerol diphosphate (DGPP) to phosphatidate (PA) and the subsequent dephosphorylation of PA to diacylglycerol (DAG). Also has undecaprenyl pyrophosphate phosphatase activity, required for the biosynthesis of the lipid carrier undecaprenyl phosphate. Can also use lysophosphatidic acid (LPA) and phosphatidylglycerophosphate as substrates. The pattern of activities varies according to subcellular location, PGP phosphatase activity is higher in the cytoplasmic membrane, whereas PA and LPA phosphatase activities are higher in the outer membrane. Activity is independent of a divalent cation ion and insensitive to inhibition by N-ethylmaleimide. ECO:0000269|PubMed:18411271, ECO:0000269|PubMed:21148555,, Belongs to the PA-phosphatase related phosphoesterase family.;protein;Escherichia coli K12;eco:b1278;Enzymes;107.0;356.0;3.3271028037383177;13.0;93.0
150794;yciS;511145.b1279;511145.b1279;P0ACV4;511145.b1279;DUF1049 family inner membrane protein, function unknown, Involved in the assembly of lipopolysaccharide (LPS). , Belongs to the LapA family.;protein;Escherichia coli K12;eco:b1279;none;150.0;594.0;3.96;12.0;137.0
150758;yciM;511145.b1280;511145.b1280;P0AB58;511145.b1280;LPS regulatory protein, Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane.;protein;Escherichia coli K12;eco:b1280;none;111.0;537.0;4.837837837837838;7.0;103.0
145049;pyrF;511145.b1281;511145.b1281;P08244;511145.b1281;Orotidine-5'-phosphate decarboxylase, Catalyzes the decarboxylation of orotidine 5'-monophosphate (OMP) to uridine 5'-monophosphate (UMP).;protein;Escherichia coli K12;eco:b1281;Enzymes;306.0;3067.0;10.022875816993464;29.0;276.0
144830;yciH;511145.b1282;511145.b1282;P08245;511145.b1282;Initiation factor function partial mimic, SUI1 family, Belongs to the SUI1 family.;protein;Escherichia coli K12;eco:b1282;Translation factors;239.0;5923.0;24.782426778242677;18.0;220.0
151796;osmB;511145.b1283;511145.b1283;P0ADA7;511145.b1283;Osmotically and stress inducible lipoprotein, Provides resistance to osmotic stress. May be important for stationary-phase survival.;protein;Escherichia coli K12;eco:b1283;none;37.0;138.0;3.72972972972973;2.0;34.0
151799;yciT;511145.b1284;511145.b1284;P76034;511145.b1284;Putative DEOR-type transcriptional regulator, Protein involved in transcription repressor activity and transcription;protein;Escherichia coli K12;eco:b1284;none;1.0;0.0;0.0;0.0;0.0
148877;gmr;511145.b1285;511145.b1285;P77334;511145.b1285;cyclic-di-GMP phosphodiesterase, Part of a signaling cascade that regulates curli biosynthesis. The cascade is composed of two cyclic-di-GMP (c-di-GMP) control modules, in which c-di-GMP controlled by the DgcE/PdeH pair (module I) regulates the activity of the DgcM/PdeR pair (module II), which in turn regulates activity of the transcription factor MlrA and expression of the master biofilm regulator csgD . PdeR acts as a trigger enzyme that connects modules I and II. It inhibits DgcM and MlrA by direct interaction. Inhibition is relieved when PdeR binds and degrades c-di-GMP generated by module I (PubMed:17010156, PubMed:23708798).;protein;Escherichia coli K12;eco:b1285;Enzymes;168.0;1151.0;6.851190476190476;15.0;152.0
148121;rnb;511145.b1286;511145.b1286;P30850;511145.b1286;Ribonuclease II, Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3' to 5' direction . RNases 2 and R (rnr) contribute to rRNA degradation during starvation, while RNase R and PNPase (pnp) are the major contributors to quality control of rRNA during steady state growth . This RNase is required to decrease expression of RNase PH (rnp) at 42 degrees Celsius during starvation, which in turn represses rRNA degradation . , Belongs to the RNR ribonuclease family. RNase II subfamily.;protein;Escherichia coli K12;eco:b1286;Transfer RNA biogenesis;191.0;4804.0;25.151832460732983;12.0;178.0
151790;yciW;511145.b1287;511145.b1287;P76035;511145.b1287;Putative oxidoreductase;protein;Escherichia coli K12;eco:b1287;none;57.0;232.0;4.0701754385964914;8.0;48.0
143987;fabI;511145.b1288;511145.b1288;P0AEK4;511145.b1288;Enoyl-[acyl-carrier-protein] reductase, NADH-dependent, Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). Involved in the elongation cycle of fatty acid which are used in the lipid metabolism and in the biotin biosynthesis.;protein;Escherichia coli K12;eco:b1288;Lipid biosynthesis proteins;181.0;1500.0;8.287292817679559;17.0;163.0
151802;ycjD;511145.b1289;511145.b1289;P45736;511145.b1289;DUF559 family endonuclease-related protein, To H.influenzae HI_1162 and to HI_0925.;protein;Escherichia coli K12;eco:b1289;none;1.0;0.0;0.0;0.0;0.0
151202;sapF;511145.b1290;511145.b1290;P0AAH8;511145.b1290;Antimicrobial peptide ABC transporter ATPase, Part of a putrescine export transport system, does not play a role in resistance to antimicrobial peptides . Does not stimulate K(+) uptake ability of TrkH on its own, but increases K(+) uptake by 20% in the presence of SapD, has no effect of TrkG , Belongs to the ABC transporter superfamily.;protein;Escherichia coli K12;eco:b1290;Transporters;70.0;438.0;6.257142857142857;16.0;53.0
152273;sapD;511145.b1291;511145.b1291;P0AAH4;511145.b1291;Antimicrobial peptide ABC transporter ATPase, Part of a putrescine export transport system, does not play a role in resistance to antimicrobial peptides . Stimulates K(+)-uptake proteins TrkG and TrkH to import K(+), may act via ATP-binding rather than ATP hydrolysis .;protein;Escherichia coli K12;eco:b1291;Transporters;196.0;1512.0;7.714285714285714;36.0;159.0
151157;sapC;511145.b1292;511145.b1292;P0AGH5;511145.b1292;Antimicrobial peptide transport ABC transporter permease, Part of a putrescine export transport system, does not play a role in resistance to antimicrobial peptides.;protein;Escherichia coli K12;eco:b1292;Transporters;77.0;473.0;6.142857142857143;24.0;52.0
152252;sapB;511145.b1293;511145.b1293;P0AGH3;511145.b1293;Antimicrobial peptide transport ABC transporter permease, Part of a putrescine export transport system, does not play a role in resistance to antimicrobial peptides.;protein;Escherichia coli K12;eco:b1293;Transporters;83.0;507.0;6.108433734939759;23.0;59.0
151808;sapA;511145.b1294;511145.b1294;Q47622;511145.b1294;Antimicrobial peptide transport ABC transporter periplasmic binding protein, Not part of a putrescine export system . Very similar to a S.typhimurium protein implicated in antimicrobial peptide resistance, but the SapBCDF operon in E.coli is implicated in putrescine export .;protein;Escherichia coli K12;eco:b1294;Transporters;180.0;1534.0;8.522222222222222;15.0;164.0
151811;ymjA;511145.b1295;511145.b1295;P0ACV8;511145.b1295;DUF2543 family protein;protein;Escherichia coli K12;eco:b1295;none;1.0;0.0;0.0;0.0;0.0
152363;puuP;511145.b1296;511145.b1296;P76037;511145.b1296;Putrescine importer, Involved in the uptake of putrescine. , Belongs to the amino acid-polyamine-organocation (APC) superfamily.;protein;Escherichia coli K12;eco:b1296;Transporters;33.0;135.0;4.090909090909091;6.0;26.0
150299;puuA;511145.b1297;511145.b1297;P78061;511145.b1297;Glutamate--putrescine ligase, Involved in the breakdown of putrescine via the biosynthesis of gamma-L-glutamylputrescine. It is able to use several diamines, spermidine and spermine. Absolutely essential to utilize putrescine as both nitrogen and carbon sources and to decrease the toxicity of putrescine, which can lead to inhibition of cell growth and protein synthesis, Belongs to the glutamine synthetase family.;protein;Escherichia coli K12;eco:b1297;Enzymes;47.0;161.0;3.425531914893617;12.0;34.0
149174;puuD;511145.b1298;511145.b1298;P76038;511145.b1298;Gamma-glutamyl-gamma-aminobutyrate hydrolase, Involved in the breakdown of putrescine via hydrolysis of the gamma-glutamyl linkage of gamma-glutamyl-gamma-aminobutyrate.;protein;Escherichia coli K12;eco:b1298;Peptidases and inhibitors;165.0;965.0;5.848484848484849;17.0;147.0
151829;puuR;511145.b1299;511145.b1299;P0A9U6;511145.b1299;Repressor for the divergent puu operons, putrescine inducible, Represses puuA, puuD and puuP.;protein;Escherichia coli K12;eco:b1299;Transcription factors;32.0;132.0;4.125;5.0;26.0
143930;puuC;511145.b1300;511145.b1300;P23883;511145.b1300;Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase, Catalyzes the oxidation of 3-hydroxypropionaldehyde (3-HPA) to 3-hydroxypropionic acid (3-HP) . It acts preferentially with NAD but can also use NADP . 3-HPA appears to be the most suitable substrate for PuuC followed by isovaleraldehyde, propionaldehyde, butyraldehyde, and valeraldehyde . It might play a role in propionate and/or acetic acid metabolisms . Also involved in the breakdown of putrescine through the oxidation of gamma-Glu-gamma-aminobutyraldehyde to gamma-Glu-gamma-aminobutyrate (gamma-Glu-GABA) .;protein;Escherichia coli K12;eco:b1300;Enzymes;112.0;772.0;6.892857142857143;10.0;101.0
144050;puuB;511145.b1301;511145.b1301;P37906;511145.b1301;Gamma-glutamylputrescine oxidoreductase, Involved in the breakdown of putrescine via the oxidation of L-glutamylputrescine.;protein;Escherichia coli K12;eco:b1301;none;51.0;251.0;4.921568627450981;7.0;43.0
147158;puuE;511145.b1302;511145.b1302;P50457;511145.b1302;4-aminobutyrate aminotransferase, PLP-dependent, Catalyzes the transfer of the amino group from gamma- aminobutyrate (GABA) to alpha-ketoglutarate (KG) to yield succinic semialdehyde (SSA). PuuE is important for utilization of putrescine as the sole nitrogen or carbon source, Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.;protein;Escherichia coli K12;eco:b1302;Amino acid related enzymes;138.0;906.0;6.565217391304348;15.0;122.0
147947;pspF;511145.b1303;511145.b1303;P37344;511145.b1303;Psp operon transcriptional activator, Transcriptional activator for the phage shock protein (psp) operon (pspABCDE) and pspG gene.;protein;Escherichia coli K12;eco:b1303;Transcription factors;193.0;3999.0;20.72020725388601;11.0;181.0
149921;pspA;511145.b1304;511145.b1304;P0AFM6;511145.b1304;Regulatory protein for phage-shock-protein operon, The phage shock protein (psp) operon (pspABCDE) may play a significant role in the competition for survival under nutrient- or energy-limited conditions. PspA negatively regulates expression of the pspABCDE promoter and of pspG through negative regulation of the psp- specific transcriptional activator PspF. Is also required for membrane integrity, efficient translocation and maintenance of the proton motive force. ECO:0000269|PubMed:1712397, ECO:0000269|PubMed:19804784,, Belongs to the PspA/IM30 family.;protein;Escherichia coli K12;eco:b1304;none;54.0;173.0;3.2037037037037037;7.0;46.0
151838;pspB;511145.b1305;511145.b1305;P0AFM9;511145.b1305;Psp operon transcription co-activator, The phage shock protein (psp) operon (pspABCDE) may play a significant role in the competition for survival under nutrient- or energy-limited conditions. PspB is involved in transcription regulation, Belongs to the PspB family.;protein;Escherichia coli K12;eco:b1305;Prokaryotic defense system;54.0;173.0;3.2037037037037037;7.0;46.0
151382;pspC;511145.b1306;511145.b1306;P0AFN2;511145.b1306;Psp operon transcription co-activator, The phage shock protein (psp) operon (pspABCDE) may play a significant role in the competition for survival under nutrient- or energy-limited conditions. PspC is involved in transcription regulation, Belongs to the phageshock PspC family.;protein;Escherichia coli K12;eco:b1306;Transcription factors;64.0;194.0;3.03125;8.0;55.0
151541;pspD;511145.b1307;511145.b1307;P0AFV8;511145.b1307;Peripheral inner membrane phage-shock protein, The phage shock protein (psp) operon (pspABCDE) may play a significant role in the competition for survival under nutrient- or energy-limited conditions.;protein;Escherichia coli K12;eco:b1307;none;15.0;40.0;2.6666666666666665;6.0;8.0
147722;pspE;511145.b1308;511145.b1308;P23857;511145.b1308;Thiosulfate:cyanide sulfurtransferase (rhodanese), The phage shock protein (psp) operon (pspABCDE) may play a significant role in the competition for survival under nutrient- or energy-limited conditions. PspE catalyzes the sulfur-transfer reaction from thiosulfate to cyanide, to form sulfite and thiocyanate. Also able to use dithiol (dithiothreitol) as an alternate sulfur acceptor. Also possesses a very low mercaptopyruvate sulfurtransferase activity.;protein;Escherichia coli K12;eco:b1308;none;27.0;79.0;2.925925925925926;6.0;20.0
147047;ycjM;511145.b1309;511145.b1309;P76041;511145.b1309;Alpha amylase catalytic domain family protein, Catalyzes the reversible phosphorolysis of glucosylglycerate into alpha-D-glucose 1-phosphate (Glc1P) and D-glycerate (also called (R)-glycerate) . May be a regulator of intracellular levels of glucosylglycerate, a compatible solute that primarily protects organisms facing salt stress and very specific nutritional constraints . Cannot catalyze the phosphorolysis of sucrose . Does not act on other sugars such as alpha-D-galactose 1-phosphate, alpha-D-mannose 1- phosphate or beta-D-glucose 1-phosphate, in vitro D-erythronate can substitue for D-glycerate with a much lower efficiency , Belongs to the glycosyl hydrolase 13 family. Glucosylglycerate phosphorylase subfamily.;protein;Escherichia coli K12;eco:b1309;Enzymes;27.0;102.0;3.7777777777777777;9.0;17.0
151610;ycjN;511145.b1310;511145.b1310;P76042;511145.b1310;Putative ABC sugar transporter periplasmic binding protein, Probably part of the binding-protein-dependent transport system YcjNOP, Belongs to the bacterial solute-binding protein 1 family.;protein;Escherichia coli K12;eco:b1310;Transporters;76.0;591.0;7.776315789473684;16.0;59.0
151832;ycjO;511145.b1311;511145.b1311;P0AFR7;511145.b1311;Putative sugar ABC transporter permease, Probably part of the binding-protein-dependent transport system YcjNOP. Probably responsible for the translocation of the substrate across the membrane, Belongs to the binding-protein-dependent transport system permease family. MalFG subfamily.;protein;Escherichia coli K12;eco:b1311;Transporters;113.0;722.0;6.389380530973451;18.0;94.0
151835;ycjP;511145.b1312;511145.b1312;P77716;511145.b1312;Putative sugar ABC transporter permease, Probably part of the binding-protein-dependent transport system YcjNOP. Probably responsible for the translocation of the substrate across the membrane, Belongs to the binding-protein-dependent transport system permease family. MalFG subfamily.;protein;Escherichia coli K12;eco:b1312;Transporters;106.0;708.0;6.679245283018868;16.0;89.0
143480;ycjQ;511145.b1313;511145.b1313;P76043;511145.b1313;Putative Zn-dependent NAD(P)-binding oxidoreductase, Catalyzes the NAD(+)-dependent oxidation of the hydroxyl group at C3 of D-gulosides leading to 3-dehydro-D-gulosides. Probably functions in a metabolic pathway that transforms D-gulosides to D- glucosides. Is also able to catalyze the reverse reactions, i.e. the NADH-dependent reduction of the oxo group at C3 of 3-dehydro-D- gulosides leading to D-gulosides. In vitro, can oxidize D-gulose and methyl beta-D-guloside, and reduce methyl alpha-3-dehydro-D-guloside and methyl beta-3-dehydro-D-guloside. However, the actual specific physiological substrates for this metabolic pathway are unknown. , Belongs to the zinc-containing alcohol dehydrogenase family.;protein;Escherichia coli K12;eco:b1313;none;44.0;150.0;3.409090909090909;11.0;32.0
148577;ycjR;511145.b1314;511145.b1314;P76044;511145.b1314;Putative TIM alpha/beta barrel enzyme, Catalyzes the epimerization at C4 of 3-dehydro-D-gulosides leading to 3-dehydro-D-glucosides. Probably functions in a metabolic pathway that transforms D-gulosides to D-glucosides. Can use methyl alpha-3-dehydro-D-glucoside and methyl beta-3-dehydro-D-glucoside as substrates in vitro. However, the actual specific physiological substrates for this metabolic pathway are unknown. Cannot act on D- psicose, D-fructose, D-tagatose, D-sorbose, L-xylulose, or L-ribulose. , Belongs to the hyi family.;protein;Escherichia coli K12;eco:b1314;none;34.0;126.0;3.7058823529411766;10.0;23.0
143483;ycjS;511145.b1315;511145.b1315;P77503;511145.b1315;Putative NADH-binding oxidoreductase, Catalyzes the NADH-dependent reduction of the oxo group at C3 of 3-dehydro-D-glucosides leading to D-glucosides. Probably functions in a metabolic pathway that transforms D-gulosides to D-glucosides. Can use 3-dehydro-D-glucose, methyl alpha-3-dehydro-D-glucoside and methyl beta-3-dehydro-D-glucoside as substrates in vitro. However, the actual specific physiological substrates for this metabolic pathway are unknown. To a lesser extent, is also able to catalyze the reverse reactions, i.e. the NAD(+)-dependent oxidation of the hydroxyl group at C3 of D-glucosides leading to 3-dehydro-D-glucosides. Cannot act on UDP-glucose, UDP-N-acetyl-D-glucosamine, D-glucosamine, N-acetyl-D- glucosamine, or UDP-D-galactose.;protein;Escherichia coli K12;eco:b1315;none;30.0;106.0;3.533333333333333;10.0;19.0
147038;ycjT;511145.b1316;511145.b1316;P77154;511145.b1316;Putative family 65 glycosyl hydrolase, In vitro catalyzes the phosphorolysis of D-kojibiose into beta-D-glucose 1-phosphate and D-glucose. No other disaccharides tested substitute for D-kojibiose. In the reverse direction disaccharides can be formed from beta-D-glucose 1-phosphate plus D-glucose, L-sorbose, D- sorbitol, L-iditol or 1,5-anhydro-D-glucitol, but with low efficiency. The beta-D-glucose 1-phosphate product is the substrate for YcjU (AC P77366), the next apparent enzyme in the putative biochemical pathway encoded in this locus (yjcM to ycjW).;protein;Escherichia coli K12;eco:b1316;Enzymes;45.0;148.0;3.2888888888888888;12.0;32.0
149807;ycjU;511145.b1317;511145.b1317;P77366;511145.b1317;Beta-phosphoglucomutase, Catalyzes the conversion of beta D-glucose 1-phosphate (G1P) to D-glucose 6-phosphate (G6P), forming beta-D-glucose 1,6- (bis)phosphate (beta-G16P) as an intermediate (PubMed:16990279, PubMed:29684280) (Probable). Phosphatase activity with the reaction intermediate beta-G16P has been measured . In vitro interconverts beta D-glucose 1-phosphate, beta-D-allose 1-phosphate, beta-D-galactose 1-phosphate and beta-D-mannose 1-phosphate to their corresponding sugar 6-phosphate product. The beta-D-glucose 1-phosphate substrate may be furnished by YcjT (AC P77154), the apparent upstream enzyme in the putative biochemical pathway encoded in this locus (yjcM to ycjW) . It may play a key role in the regulation of the flow of carbohydrate intermediates in glycolysis and the formation of the sugar nucleotide UDP-glucose. ECO:0000269|PubMed:25848029, ECO:0000269|PubMed:29684280,;protein;Escherichia coli K12;eco:b1317;Enzymes;27.0;102.0;3.7777777777777777;9.0;17.0
148016;ompG;511145.b1319;511145.b1319;P76045;511145.b1319;Outer membrane porin G, Forms channels functionally larger than those of classical porins.;protein;Escherichia coli K12;eco:b1319;Transporters;181.0;2073.0;11.453038674033149;13.0;167.0
151814;ycjW;511145.b1320;511145.b1320;P77615;511145.b1320;Putative LACI-type transcriptional regulator, Protein involved in transcription repressor activity and transcription;protein;Escherichia coli K12;eco:b1320;none;34.0;126.0;3.7058823529411766;10.0;23.0
151805;ycjX;511145.b1321;511145.b1321;P76046;511145.b1321;DUF463 family protein, puatative P-loop NTPase, Putative EC 2.1 enzymes, To H.influenzae HI_1637.;protein;Escherichia coli K12;eco:b1321;none;3.0;2.0;0.6666666666666666;1.0;1.0
151817;ycjF;511145.b1322;511145.b1322;P0A8R7;511145.b1322;UPF0283 family inner membrane protein;protein;Escherichia coli K12;eco:b1322;none;16.0;52.0;3.25;2.0;13.0
148199;tyrR;511145.b1323;511145.b1323;P07604;511145.b1323;Aromatic amino acid biosynthesis and transport regulon transcriptional regulator, Involved in transcriptional regulation of aromatic amino acid biosynthesis and transport. Modulates the expression of at least 8 unlinked operons. Seven of these operons are regulated in response to changes in the concentration of the three aromatic amino acids (phenylalanine, tyrosine and tryptophan). These amino acids are suggested to act as co-effectors which bind to the TyrR protein to form an active regulatory protein. In most cases TyrR causes negative regulation, but positive effects on the tyrP gene have been observed at high phenylalanine concentrations.;protein;Escherichia coli K12;eco:b1323;Transcription factors;183.0;1389.0;7.590163934426229;14.0;168.0
143735;tpx;511145.b1324;511145.b1324;P0A862;511145.b1324;Lipid hydroperoxide peroxidase, Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Has a preference for alkyl hydroperoxides and acts as lipid peroxidase to inhibit bacterial membrane oxidation. Acts as principal antioxidant during anaerobic growth. Rule:MF_00269, ECO:0000269|PubMed:12514184,;protein;Escherichia coli K12;eco:b1324;Enzymes;190.0;3358.0;17.673684210526314;6.0;183.0
145481;ycjG;511145.b1325;511145.b1325;P51981;511145.b1325;L-Ala-D/L-Glu epimerase, Catalyzes the epimerization of L-Ala-D-Glu to L-Ala-L-Glu and has a role in the recycling of the murein peptide, of which L-Ala-D-Glu is a component. Is also able to catalyze the reverse reaction and the epimerization of all the L-Ala-X dipeptides, except L-Ala-L-Arg, L-Ala- L-Lys and L-Ala-L-Pro. Is also active with L-Gly-L-Glu, L-Phe-L-Glu, and L-Ser-L-Glu, but not with L-Glu-L-Glu, L-Lys-L-Glu, L-Pro-L-Glu, L- Lys-L-Ala, or D-Ala-D-Ala, Belongs to the mandelate racemase/muconate lactonizing enzyme family.;protein;Escherichia coli K12;eco:b1325;Enzymes;33.0;118.0;3.5757575757575757;3.0;29.0
149063;mpaA;511145.b1326;511145.b1326;P0ACV6;511145.b1326;Murein peptide amidase A, Involved in muropeptide degradation. Catalyzes the hydrolysis of the gamma-D-glutamyl-diaminopimelic acid (gamma-D-Glu-Dap) amide bond in the murein tripeptide L-alanyl-gamma-D-glutamyl-meso- diaminopimelic acid, leading to the formation of L-Ala-gamma-D-Glu and Dap . Has weak activity with L-Ala- gamma-D-Glu-L-Lys, MurNAc-tripeptide and gamma-D-Glu-meso-Dap . Cannot hydrolyze murein tetrapeptide , Belongs to the peptidase M14 family.;protein;Escherichia coli K12;eco:b1326;none;42.0;160.0;3.8095238095238093;5.0;36.0
150227;ycjY;511145.b1327;511145.b1327;P76049;511145.b1327;Uncharacterized protein YcjY, Pseudogene fragment, MhpC family;protein;Escherichia coli K12;eco:b1327;none;9.0;10.0;1.1111111111111112;3.0;5.0
151907;pgrR;511145.b1328;511145.b1328;P77333;511145.b1328;Murein peptide degradation regulator, Regulates the expression of genes involved in peptidoglycan (PG) degradation. Could play a role in switch control between recycling and degradation of PG peptides. Negatively regulates the expression of the ycjY-ymjD-ymjC-mpaA operon by binding to the PgrR-box. In addition, other genes are predicted to be under the control of PgrR, including genes related to membrane formation and function.;protein;Escherichia coli K12;eco:b1328;Transcription factors;29.0;82.0;2.8275862068965516;3.0;25.0
149525;mppA;511145.b1329;511145.b1329;P77348;511145.b1329;Murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit, Essential for the uptake of the murein peptide L-alanyl- gamma-D-glutamyl-meso-diaminopimelate. Also transports some alpha- linked peptides such as Pro-Phe-Lys with low affinity. The transport is effected by the oligopeptide permease system, Belongs to the bacterial solute-binding protein 5 family.;protein;Escherichia coli K12;eco:b1329;Transporters;66.0;432.0;6.545454545454546;14.0;51.0
151844;ynaI;511145.b1330;511145.b1330;P0AEB5;511145.b1330;Mechanosensitive channel protein, very small conductance, Mechanosensitive channel that protects cells against hypoosmotic stress when highly overexpressed. , Belongs to the MscS (TC 1.A.23) family.;protein;Escherichia coli K12;eco:b1330;Transporters;9.0;15.0;1.6666666666666667;2.0;6.0
151850;ynaJ;511145.b1332;511145.b1332;P64445;511145.b1332;DUF2534 family putative inner membrane protein;protein;Escherichia coli K12;eco:b1332;none;16.0;26.0;1.625;3.0;12.0
150110;uspE;511145.b1333;511145.b1333;P0AAC0;511145.b1333;Stress-induced protein, Required for resistance to DNA-damaging agents.;protein;Escherichia coli K12;eco:b1333;none;49.0;125.0;2.5510204081632653;11.0;37.0
151865;fnr;511145.b1334;511145.b1334;P0A9E5;511145.b1334;Oxygen-sensing anaerobic growth regulon transcriptional regulator FNR, Global transcription factor that controls the expression of over 100 target genes in response to anoxia. It facilitates the adaptation to anaerobic growth conditions by regulating the expression of gene products that are involved in anaerobic energy metabolism. When the terminal electron acceptor, O(2), is no longer available, it represses the synthesis of enzymes involved in aerobic respiration and increases the synthesis of enzymes required for anaerobic respiration.;protein;Escherichia coli K12;eco:b1334;Transcription factors;29.0;60.0;2.0689655172413794;3.0;25.0
146747;ogt;511145.b1335;511145.b1335;P0AFH0;511145.b1335;O-6-alkylguanine-DNA:cysteine-protein methyltransferase, Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction: the enzyme is irreversibly inactivated.;protein;Escherichia coli K12;eco:b1335;DNA repair and recombination proteins;50.0;167.0;3.34;8.0;41.0
